,Date,User,Tweet
58,2019-05-17 15:18:40+00:00,htTweets,"#WATCH | On the last day of campaigning for the 2019 Lok Sabha elections, PM @narendramodi and Rahul Gandhi addressed coinciding press conferences. Here's what they had to say about each other. 

#LokSabhaElections2019 #ElectionsWithHT https://t.co/ZCSL7I4ahB"
59,2019-05-17 15:05:51+00:00,IdealistAadmi,Mr. @narendramodi should be thankful not for any work that he has done for which he'll get votes this #loksabhaelections2019 but for no opposition. Most modi voters say they don't have option for credible opposition.
60,2019-05-17 15:00:56+00:00,UniversePragati,"In last 2 elections, even IPL couldn't be held. But with strong  government  under sincere determined PM like @narendramodi, IPL, Ramzaan, school exams and many other events take place peacefully without fail !! This is Modi ji's &amp; his govt achievement!

#LokSabhaElections2019"
61,2019-05-17 15:00:14+00:00,news24tvchannel,"Next time answer questions, First and last PC...Congress takes swipe as Shah answers, Modi 'quiet' at first PC in 5 years 
@INCIndia @RahulGandhi @rssurjewala @priyankagandhi 
#PressConference #ModiFirstPressConference #LokSabhaElections2019 https://t.co/zeMYfMt2cu https://t.co/3QAivPfFLP"
62,2019-05-17 14:53:05+00:00,TPINewz,"Stong Government Can Choose Election, IPL Together: PM Modi In 1st Press Conference https://t.co/wxQ1HxAc5G #PressMeet #PressConference @narendramodi @IPL @BJP4India #LokSabhaElections2019 https://t.co/7FlpZ5TiXP"
63,2019-05-17 14:52:04+00:00,TPINewz,Surprise! Surprise! Narendra Modi Directs All Questions To Amit Shah At 1st Press Conference https://t.co/QUR7eiWKLK #PressConference #PressMeet @narendramodi @BJP4India @AmitShah #LokSabhaElections2019 #AmitShah https://t.co/wJSQP6t9XD
64,2019-05-17 14:42:17+00:00,uniindianews,"Cong responsible for making Modi PM : Mayawati
@Mayawati
@yadavakhilesh
@INCIndia
@narendramodi
#LokSabhaElections2019
https://t.co/6MFY5K7rbB https://t.co/G5Tc4e0PPm"
65,2019-05-17 14:37:45+00:00,zhrashidi,"The great Nation 🇮🇳 will Never ever forgive you @narendramodi ji, to giving the ticket in this #LokSabhaElections2019 to #PragyaSinghThakur (Who terror accused &amp; Insulted to Shaheed Hemant karkare &amp; the great Bapu Mahatma Gandhi) in publicly.

India &amp; Indians Never forgive you"
66,2019-05-17 14:34:29+00:00,news24tvchannel,"We don't throw out seniors, Rahul mocks Modi for ignoring Advani 

#RahulGandhi #LokSabhaElections2019 @RahulGandhi
 https://t.co/AnSdbetH7c"
67,2019-05-17 14:32:00+00:00,databaaz,"""Ladega to Ajay Rai hee !"" that's the slogan of one time BJP MLA and now @INCIndia candidate Ajay Rai @kashikirai who is taking on PM @narendramodi in Varanasi. Meanwhile Modi supporters counter ""Jeetega toh Modi hee!"" #LokSabhaElections2019 #GetInked https://t.co/04N0QIpl0P"
68,2019-05-17 14:24:51+00:00,IndiaToday,"#LokSabhaElections2019
@RahulGandhi's reaction to PM Modi's presser
https://t.co/F8zCCelI6G"
69,2019-05-17 14:00:03+00:00,IndiaToday,"#LokSabhaElections2019
On PM Modi not answering any questions, @RahulGandhi tweeted: ""Excellent press conference"".
https://t.co/F8zCCelI6G"
70,2019-05-17 13:54:16+00:00,sanjeevyadav007,"#LokSabhaElections2019 #RahulGandhi
Rahul Gandhi ने PM Modi पर कसा तंज, ‘उन्हें सवाल दिए जाते हैं, पढ़कर जवाब देते हैं
@RahulGandhi @INCIndia @INCDelhi @INCIndiaLive 
@narendramodi @BJP4India @priyankagandhi 
https://t.co/pcyhskLOLy"
71,2019-05-17 13:44:34+00:00,htTweets,"‘Congratulations, Modi ji’: @RahulGandhi mocks PM’s press briefing

https://t.co/Yim3errmEk

#LokSabhaElections2019 #ElectionsWithHT https://t.co/IcgwC4dD1G"
72,2019-05-17 13:44:31+00:00,notbhaskarr,"Thank you Modi ji. It was very much needed.
@narendramodi 
#LokSabhaElections2019 https://t.co/iG0RjrxH1H"
73,2019-05-17 13:29:37+00:00,IndiaToday,"#LokSabhaElections2019
@INCIndia President @RahulGandhi takes a dig at PM Modi's presser at BJP HQ. Listen in. #ITVideo. 
https://t.co/NounxnP7mg https://t.co/8ZWipniR6k"
74,2019-05-17 13:26:57+00:00,swatskat,"When a reporter takes the courage to check with @narendramodi if he will take questions, Modi diverted it to @AmitShah.
And you thought Modi will address the presser &amp; answer Qs?
LMAO 😂
He will be the first PM to not hold one. Another feather to his hat! #LokSabhaElections2019"
